#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
AGE25480.1	amino_acid_adenylation_protein	BGC0001208_c2	Poaeamide_biosynthetic_gene_cluster	29	92.5465838509	155	2.2e-37
ANQ43349.1	non-ribosomal_peptide_synthetase	BGC0001347_c2	Poaeamide_B_biosynthetic_gene_cluster	29	93.7888198758	154	2.9e-37
AAC06348.1	bacitracin_synthetase_3	BGC0000310_c1	Bacitracin_biosynthetic_gene_cluster	27	93.1677018634	153	5e-37
AAG02364.1	peptide_synthetase_NRPS2-1	BGC0000963_c1	Bleomycin_biosynthetic_gene_cluster	29	93.9958592133	152	1.5e-36
CCM44336.1	putative_nonribosomal_peptide_synthetase	BGC0001056_c1	Zeamine_biosynthetic_gene_cluster	29	94.2028985507	151	1.9e-36
AGM14933.1	xantholysin_synthetase_B	BGC0000463_c1	Xantholysin_biosynthetic_gene_cluster	28	92.132505176	151	3.2e-36
AIW82284.1	PuwG	BGC0001125_c1	Puwainaphycins_biosynthetic_gene_cluster	28	92.5465838509	151	3.2e-36
CCJ67646.1	JagB	BGC0001127_c1	Jagaricin_biosynthetic_gene_cluster	27	95.4451345756	149	7.2e-36
AHB82059.1	non_ribosomal_peptide_synthetase/polyketide_synthase	BGC0001019_c1	Microsclerodermins_biosynthetic_gene_cluster	29	100.0	149	9.4e-36
CCP45171.1	Phenyloxazoline_synthase_MbtB_(phenyloxazoline_synthetase)	BGC0001021_c1	Mycobactin_biosynthetic_gene_cluster	28	91.9254658385	149	9.4e-36
AAG05693.1	AmbB	BGC0000287_c1	2-amino-4-methoxy-trans-3-butenoic_acid_biosynthetic_gene_cluster	28	96.8944099379	149	1.2e-35
ABX37382.1	amino_acid_adenylation_domain_protein	BGC0000984_c1	Delftibactin_biosynthetic_gene_cluster	28	92.9606625259	149	1.2e-35
CAE02631.1	surfactin_synthetase_B	BGC0000433_c1	Surfactin_biosynthetic_gene_cluster	25	92.5465838509	148	1.6e-35
ABX37385.1	amino_acid_adenylation_domain_protein	BGC0000984_c1	Delftibactin_biosynthetic_gene_cluster	27	92.132505176	148	1.6e-35
AHB82072.1	non_ribosomal_peptide_synthetase/polyketide_synthase	BGC0001231_c1	Microsclerodermins_biosynthetic_gene_cluster	29	93.9958592133	148	2.1e-35
AHI59110.1	locillomycin_synthase_C	BGC0001005_c1	Locillomycin_biosynthetic_gene_cluster	26	94.4099378882	147	3.6e-35
ABS74179.1	BmyC	BGC0001090_c1	Bacillomycin_biosynthetic_gene_cluster	25	97.3084886128	147	3.6e-35
BAJ19066.1	L-lysine_activating_non-ribosomal_peptide_synthetase	BGC0000288_c1	A-503083_biosynthetic_gene_cluster	26	97.9296066253	147	4.7e-35
KPN90376.1	NupC	BGC0001416_c1	Nunapeptin_/_nunamycin_biosynthetic_gene_cluster	26	102.070393375	146	1e-34
AAC06346.1	bacitracin_synthetase_1	BGC0000310_c1	Bacitracin_biosynthetic_gene_cluster	27	92.5465838509	146	1e-34
CCJ67645.1	JagA	BGC0001127_c1	Jagaricin_biosynthetic_gene_cluster	26	93.5817805383	145	1.4e-34
ALV82447.1	putative_non-ribosomal_peptide_synthetase	BGC0001382_c1	Svaricin_biosynthetic_gene_cluster	27	92.9606625259	145	1.8e-34
ACA97580.1	PmxE	BGC0000408_c1	Polymyxin_biosynthetic_gene_cluster	25	99.5859213251	145	1.8e-34
AAY91421.3	non-ribosomal_peptide_synthetase_OfaC	BGC0000399_c1	Orfamide_biosynthetic_gene_cluster	28	94.4099378882	144	3e-34
AAC06347.1	bacitracin_synthetase_2	BGC0000310_c1	Bacitracin_biosynthetic_gene_cluster	29	93.9958592133	143	6.7e-34
AFH75322.1	nonribosomal_peptide_synthetase	BGC0000425_c1	Sessilin_biosynthetic_gene_cluster	26	92.5465838509	143	8.8e-34
AEZ51520.1	PmxE	BGC0001153_c1	Polymyxin_biosynthetic_gene_cluster	25	98.7577639752	142	1.2e-33
AFJ23819.1	WLIP_synthetase_A	BGC0000462_c1	WLIP_biosynthetic_gene_cluster	27	91.0973084886	142	1.5e-33
AEW31020.1	plipastatin_synthetase	BGC0000407_c1	Plipastatin_biosynthetic_gene_cluster	24	91.0973084886	142	1.5e-33
AHD05617.1	putative_non-ribosomal_peptide_ligase_domain_protein	BGC0001033_c1	Paenilamicin_biosynthetic_gene_cluster	26	93.9958592133	141	2e-33
AJM89738.1	PmxE	BGC0001192_c1	Colistin_biosynthetic_gene_cluster	25	99.5859213251	141	2e-33
AHH53508.1	non-ribosomal_peptide_synthetase	BGC0000439_c1	Taromycin_biosynthetic_gene_cluster	29	91.3043478261	141	2.6e-33
AAZ55900.1	non-ribosomal_peptide_synthase:Amino_acid_adenylation	BGC0000359_c1	Fuscachelin_biosynthetic_gene_cluster	30	94.2028985507	141	2.6e-33
AAC32048.1	FxbC	BGC0000351_c1	Exochelin_biosynthetic_gene_cluster	28	91.3043478261	141	3.3e-33
CUI25745.1	Nonribosomal_peptide_synthase	BGC0001354_c1	U-68204_biosynthetic_gene_cluster	27	92.9606625259	141	3.3e-33
ADY76667.1	non-ribosomal_peptide_synthetase	BGC0000950_c1	Napsamycin_biosynthetic_gene_cluster	28	92.132505176	141	3.3e-33
ALJ49920.1	TtmI	BGC0001236_c1	Thiotetroamide_biosynthetic_gene_cluster	27	92.7536231884	140	4.4e-33
AAF08795.1	MycA	BGC0001103_c1	Mycosubtilin_biosynthetic_gene_cluster	25	92.132505176	140	5.7e-33
CAE02633.1	surfactin_synthetase_C	BGC0000433_c1	Surfactin_biosynthetic_gene_cluster	24	99.7929606625	140	5.7e-33
AFH75330.1	nonribosomal_peptide_synthetase	BGC0000398_c1	Orfamide_biosynthetic_gene_cluster	27	93.5817805383	139	9.7e-33
ABS74181.1	BmyA	BGC0001090_c1	Bacillomycin_biosynthetic_gene_cluster	25	92.132505176	139	1.3e-32
ABL74936.1	TlmX	BGC0001048_c1	Tallysomycin_biosynthetic_gene_cluster	27	90.6832298137	138	2.8e-32
AET98906.1	putative_non-ribosomal_peptide_synthetase	BGC0000415_c1	Quinomycin_biosynthetic_gene_cluster	26	94.6169772257	138	2.8e-32
BAH43764.1	tyrocidine_synthetase_I	BGC0000452_c1	Tyrocidine_biosynthetic_gene_cluster	25	89.8550724638	137	3.7e-32
CCJ67640.1	TaaE	BGC0000447_c1	Tolaasin_biosynthetic_gene_cluster	26	92.9606625259	137	3.7e-32
AEH59099.1	amino_acid_adenylation_domain-containing_protein/NRPS	BGC0000385_c1	Lysobactin_biosynthetic_gene_cluster	28	94.4099378882	137	3.7e-32
CAG29032.1	nonribosomal_peptide_synthetase_(modules_3_to_6)	BGC0001023_c1	Myxochromide_biosynthetic_gene_cluster	27	91.9254658385	136	6.3e-32
ABI22132.1	putative_non-ribosomal_peptide_synthetase	BGC0000422_c1	Saframycin_A_biosynthetic_gene_cluster	27	99.7929606625	136	8.2e-32
BAI63288.1	putative_non-ribosomal_peptide_synthetase	BGC0000434_c1	SW-163_biosynthetic_gene_cluster	26	95.652173913	136	8.2e-32
AFH75329.1	nonribosomal_peptide_synthetase	BGC0000398_c1	Orfamide_biosynthetic_gene_cluster	28	92.5465838509	135	1.4e-31
CAJ14039.1	peptide_synthetase_PhsC	BGC0000406_c1	Phosphinothricin_biosynthetic_gene_cluster	28	98.7577639752	135	1.4e-31
CCJ67636.1	TaaA	BGC0000447_c1	Tolaasin_biosynthetic_gene_cluster	28	95.652173913	135	1.8e-31
AGE25479.1	putative_non-ribosomal_peptide_synthetase	BGC0001208_c2	Poaeamide_biosynthetic_gene_cluster	26	91.3043478261	135	1.8e-31
BAB69698.1	iturin_A_synthetase_A	BGC0001098_c1	Iturin_biosynthetic_gene_cluster	25	92.132505176	135	1.8e-31
CAY48788.1	putative_non-ribosomal_peptide_synthetase	BGC0001312_c1	Viscosin_biosynthetic_gene_cluster	26	91.718426501	135	1.8e-31
ALV86866.1	Tlo20	BGC0001406_c1	Telomycin_biosynthetic_gene_cluster	28	100.207039337	133	7e-31
CAJ34370.1	NRPS_protein	BGC0000445_c1	Thiocoraline_biosynthetic_gene_cluster	30	74.9482401656	133	9.1e-31
ABV79987.1	ApnC	BGC0000301_c1	Anabaenopeptin_biosynthetic_gene_cluster	26	92.9606625259	132	1.2e-30
AHB82058.1	non_ribosomal_peptide_synthetase	BGC0001019_c1	Microsclerodermins_biosynthetic_gene_cluster	28	91.5113871636	132	1.2e-30
AKA59447.1	non-ribosomal_peptide_synthetase	BGC0001203_c1	Clarexpoxcin_biosynthetic_gene_cluster	26	90.8902691511	132	1.2e-30
AHB82071.1	non_ribosomal_peptide_synthetase	BGC0001231_c1	Microsclerodermins_biosynthetic_gene_cluster	27	98.5507246377	132	1.6e-30
CBZ42143.1	putative_non-ribosomal_peptide_synthetase	BGC0001117_c1	Himastatin_biosynthetic_gene_cluster	27	93.7888198758	131	2.7e-30
ABW17375.1	PsoA	BGC0000411_c1	Putisolvin_biosynthetic_gene_cluster	28	92.132505176	130	4.5e-30
ACG60772.1	NRPS(C/A/PCP/Cy/A/PCP/Cy)	BGC0001058_c1	Zorbamycin_biosynthetic_gene_cluster	29	76.6045548654	129	1e-29
AAC68816.1	FK506_peptide_synthetase	BGC0000353_c1	FK506_biosynthetic_gene_cluster	28	92.132505176	129	1e-29
ADJ63842.1	non-ribosomal_peptide_synthetase_protein	BGC0000424_c1	Serobactins_biosynthetic_gene_cluster	26	94.6169772257	129	1.3e-29
ACZ55944.1	non-ribosomal_peptide_synthetase	BGC0000302_c1	Anabaenopeptin_biosynthetic_gene_cluster	26	93.9958592133	129	1.3e-29
AAO62587.1	peptide_sythetase	BGC0001016_c1	Microcystin_biosynthetic_gene_cluster	26	96.6873706004	128	2.2e-29
WP_020635019.1	hypothetical_protein	BGC0001211_c1	Albachelin_biosynthetic_gene_cluster	26	98.7577639752	128	2.2e-29
CDG17980.1	Putative_Ornithine_racemase_(fragment)	BGC0000464_c1	Xenoamicins_biosynthetic_gene_cluster	26	93.1677018634	128	2.2e-29
sln8	nonribosomal_peptide_synthetase	BGC0001230_c1	Salinamides_biosynthetic_gene_cluster	28	92.7536231884	127	3.8e-29
AAF00961.1	McyB	BGC0001017_c1	Microcystin_biosynthetic_gene_cluster	25	95.4451345756	126	6.5e-29
BAP05591.1	CalC	BGC0000967_c1	Calyculin_biosynthetic_gene_cluster	25	96.8944099379	126	6.5e-29
AFP87549.1	NrpS	BGC0001135_c1	Bicornutin_biosynthetic_gene_cluster	27	93.3747412008	126	8.5e-29
AHD05627.1	putative_non-ribosomal_peptide_ligase_domain_protein	BGC0001033_c1	Paenilamicin_biosynthetic_gene_cluster	24	93.3747412008	126	1.1e-28
ABV56585.1	KtzE	BGC0000378_c1	Kutznerides_biosynthetic_gene_cluster	26	92.5465838509	126	1.1e-28
ABH06368.2	MassB	BGC0000389_c1	Massetolide_A_biosynthetic_gene_cluster	26	92.3395445135	125	1.5e-28
AAX31557.1	peptide_synthetase_1	BGC0000336_c1	Daptomycin_biosynthetic_gene_cluster	28	92.7536231884	125	1.5e-28
ANQ43348.1	non-ribosomal_peptide_synthetase	BGC0001347_c2	Poaeamide_B_biosynthetic_gene_cluster	24	91.718426501	125	1.5e-28
AEO14743.1	NdaA	BGC0000396_c1	Nodularin_biosynthetic_gene_cluster	25	95.0310559006	125	1.9e-28
AAM80537.1	StaC	BGC0000290_c1	A47934_biosynthetic_gene_cluster	26	90.4761904762	124	2.5e-28
AEH41793.1	HrmO	BGC0000374_c1	Hormaomycin_biosynthetic_gene_cluster	27	102.691511387	124	2.5e-28
CDG17987.1	Putative_Ornithine_racemase_(fragment)	BGC0000464_c1	Xenoamicins_biosynthetic_gene_cluster	27	96.2732919255	124	3.2e-28
AIE77059.1	peptide_synthetase	BGC0000418_c1	Ristocetin_biosynthetic_gene_cluster	24	98.7577639752	124	4.2e-28
ERG36782.1	Ornithine_racemase	BGC0000299_c1	Alterochromides_biosynthetic_gene_cluster	25	94.6169772257	123	9.4e-28
WP_010369425.1	ornithine_racemase	BGC0000314_c1	Bromoalterochromides_biosynthetic_gene_cluster	25	94.6169772257	123	9.4e-28
AGS06887.1	mixed_type_I_polyketide_synthase/non-ribosomal_peptide_synthetase,_PedF-like_protein	BGC0001092_c2	Diaphorin_biosynthetic_gene_cluster	23	93.1677018634	122	1.2e-27
ABC94347.1	vicibactin_biosynthesis_non-ribosomal_peptide_synthase_protein	BGC0000457_c1	Vicibactin_biosynthetic_gene_cluster	25	96.066252588	122	1.2e-27
AFK57214.1	DidC	BGC0000985_c1	Didemnin_biosynthetic_gene_cluster	27	95.652173913	122	1.2e-27
AAM80539.1	StaA	BGC0000290_c1	A47934_biosynthetic_gene_cluster	27	84.4720496894	122	1.2e-27
AGZ15459.1	putative_non-ribosomal_peptide_synthetase	BGC0001036_c1	Polyoxypeptin_biosynthetic_gene_cluster	27	94.8240165631	122	1.6e-27
CAA11773.1	PCZA361.18	BGC0000322_c2	Chloroeremomycin_biosynthetic_gene_cluster	27	93.9958592133	122	1.6e-27
ALV86867.1	Tlo21	BGC0001406_c1	Telomycin_biosynthetic_gene_cluster	27	92.132505176	119	8e-27
AFP73394.1	FusA	BGC0001268_c1	Fusarin_biosynthetic_gene_cluster	25	106.211180124	119	8e-27
CAA11795.1	PCZA363.4	BGC0000322_c1	Chloroeremomycin_biosynthetic_gene_cluster	24	98.3436853002	119	1e-26
AEI58879.1	peptide_synthetase	BGC0000455_c1	Vancomycin_biosynthetic_gene_cluster	27	92.7536231884	119	1e-26
AIG79241.1	Hypothetical_protein	BGC0000419_c1	Ristomycin_A_biosynthetic_gene_cluster	25	91.718426501	119	1.4e-26
BAH04162.1	trsJ	BGC0000450_c1	Triostin_A_biosynthetic_gene_cluster	25	94.4099378882	118	2.3e-26
ACY13414.1	amino_acid_adenylation_domain_protein	BGC0001367_c1	Haliamide_biosynthetic_gene_cluster	25	91.5113871636	118	3e-26
AAY37653.1	Amino_acid_adenylation	BGC0000437_c1	Syringomycin_biosynthetic_gene_cluster	26	103.105590062	118	3e-26
AAC32047.1	FxbB	BGC0000351_c1	Exochelin_biosynthetic_gene_cluster	25	95.4451345756	116	6.8e-26
ABX37383.1	amino_acid_adenylation_domain_protein	BGC0000984_c1	Delftibactin_biosynthetic_gene_cluster	25	98.3436853002	116	8.8e-26
BAE98155.1	putative_non-ribosomal_peptide_synthetase	BGC0000339_c1	Echinomycin_biosynthetic_gene_cluster	25	94.6169772257	115	1.5e-25
AIG79224.1	Hypothetical_protein	BGC0000419_c1	Ristomycin_A_biosynthetic_gene_cluster	27	92.132505176	115	1.5e-25
AIE77076.1	peptide_synthetase	BGC0000418_c1	Ristocetin_biosynthetic_gene_cluster	27	92.5465838509	115	2e-25
CAD29798.1	peptide_synthetase	BGC0001015_c1	Microcystin_biosynthetic_gene_cluster	25	93.5817805383	115	2e-25
AGZ15458.1	putative_non-ribosomal_peptide_synthetase	BGC0001036_c1	Polyoxypeptin_biosynthetic_gene_cluster	26	97.3084886128	114	3.4e-25
CAQ71829.1	non_ribosomal_peptide_synthase,_antibiotic_synthesis;_contains_4_condensation_domains,_3_AMP-acid_ligases_II_domains,_3_PP-binding,_Phosphopantetheine_attachment_site_and_a_putative_thioesterase_domain	BGC0001189_c1	Taiwachelin_biosynthetic_gene_cluster	25	92.9606625259	113	5.7e-25
ACZ55945.1	non-ribosomal_peptide_synthetase	BGC0000302_c1	Anabaenopeptin_biosynthetic_gene_cluster	25	92.7536231884	112	1.7e-24
AAT28740.1	FUSS	BGC0000064_c1	Fusarin_biosynthetic_gene_cluster	25	104.968944099	112	1.7e-24
AID65224.1	nonribosomal_peptide_synthetase	BGC0000335_c1	Cystomanamides_biosynthetic_gene_cluster	24	91.9254658385	111	2.2e-24
CBA11570.1	non-ribosomal_peptide_synthetase	BGC0001046_c1	Streptolydigin_biosynthetic_gene_cluster	29	80.5383022774	111	2.2e-24
CBZ42146.1	putative_non-ribosomal_peptide_synthetase	BGC0001117_c1	Himastatin_biosynthetic_gene_cluster	25	96.066252588	111	3.7e-24
AEP18655.1	WAPS2	BGC0000461_c1	WAP-8294A2_(lotilibcin)_biosynthetic_gene_cluster	26	102.070393375	109	1.1e-23
WP_028678149.1	non-ribosomal_peptide_synthetase	BGC0001228_c1	Retimycin_biosynthetic_gene_cluster	25	95.2380952381	109	1.4e-23
AAZ23077.1	peptide_synthetase	BGC0000291_c1	A54145_biosynthetic_gene_cluster	25	98.1366459627	107	4.1e-23
CDG12865.1	non-ribosomal_peptide_synthetase	BGC0001415_c1	Althiomycin_biosynthetic_gene_cluster	24	93.5817805383	107	4.1e-23
CCB53264.1	non-ribosomal_peptide_synthetase	BGC0001393_c1	Lugdunin_biosynthetic_gene_cluster	23	90.8902691511	106	9.1e-23
CAJ96470.1	Non-ribosomal_peptide_synthetase	BGC0000330_c1	Cupriachelin_biosynthetic_gene_cluster	26	93.1677018634	106	9.1e-23
AFV52191.1	NRPS_adenylation_domain	BGC0000081_c1	Kedarcidin_biosynthetic_gene_cluster	24	94.2028985507	105	2e-22
XP_001227984.1	hypothetical_protein	BGC0001240_c1	Serinocyclin_A_/_serinocyclin_B_biosynthetic_gene_cluster	25	101.863354037	102	1.3e-21
CCA29203.1	non-ribosomal_peptide_synthetase/polyketide_synthase	BGC0000955_c1	Althiomycin_biosynthetic_gene_cluster	24	96.2732919255	99	1.1e-20
ABV56588.1	KtzH	BGC0000378_c1	Kutznerides_biosynthetic_gene_cluster	24	97.7225672878	99	1.5e-20
BAL15726.1	NRPS	BGC0000432_c1	Streptothricin_biosynthetic_gene_cluster	25	93.1677018634	95	2.1e-19
AJW76709.1	DsaG	BGC0001196_c1	Desotamide_biosynthetic_gene_cluster	24	100.207039337	92	1e-18
WP_010369428.1	phenylalanine_racemase	BGC0000314_c1	Bromoalterochromides_biosynthetic_gene_cluster	29	51.7598343685	92	1e-18
CAG23957.2	NRPS/PKS_protein	BGC0001089_c1	Bacillaene_biosynthetic_gene_cluster	22	98.1366459627	89	8.8e-18
ACA34358.1	acyl-CoA_ligase	BGC0001152_c1	Fusaricidin_biosynthetic_gene_cluster	24	81.3664596273	88	2e-17
AAY93445.1	non-ribosomal_peptide_synthetase_PvdL	BGC0000413_c1	Pyoverdine_biosynthetic_gene_cluster	25	52.1739130435	88	2.6e-17
ACZ01944.1	acyl-CoA_ligase	BGC0000358_c1	Fusaricidin_biosynthetic_gene_cluster	24	81.3664596273	87	5.7e-17
AFJ52660.1	nonribosomal_peptide_synthetase	BGC0001073_c1	Kosinostatin_biosynthetic_gene_cluster	28	79.0890269151	87	5.7e-17
CAC20930.1	PimS0_protein	BGC0000125_c1	Pimaricin_biosynthetic_gene_cluster	24	90.8902691511	84	2.8e-16
ADX66470.1	ScnS0	BGC0000108_c1	Natamycin_biosynthetic_gene_cluster	24	89.4409937888	82	1.4e-15
AEF33080.1	putative_peptide_synthetase	BGC0001039_c1	Pyridomycin_biosynthetic_gene_cluster	26	79.0890269151	76	1.3e-13
BAE98151.1	putative_AMP-binding_ligase	BGC0000339_c1	Echinomycin_biosynthetic_gene_cluster	26	77.4327122153	74	5e-13
ABV56587.1	KtzG	BGC0000378_c1	Kutznerides_biosynthetic_gene_cluster	27	28.7784679089	72	1.9e-12
BAH04171.1	AMP-binding_ligase	BGC0000450_c1	Triostin_A_biosynthetic_gene_cluster	26	77.8467908903	71	3.3e-12
AAY42398.1	HctF	BGC0001000_c1	Hectochlorin_biosynthetic_gene_cluster	31	27.1221532091	68	2.8e-11
AET98914.1	putative_AMP-binding_ligase	BGC0000415_c1	Quinomycin_biosynthetic_gene_cluster	26	78.0538302277	67	3.6e-11
CAJ76289.1	putative_hybrid_non-ribosomal_peptide-polyketide_synthetase	BGC0000972_c1	Colibactin_biosynthetic_gene_cluster	32	24.6376811594	66	8e-11
CBJ90359.1	putative_Peptide_synthetase	BGC0000465_c1	Xenortide_biosynthetic_gene_cluster	26	27.1221532091	66	1.4e-10
BAH04161.1	putative_non-ribosomal_peptide_synthetase	BGC0000450_c1	Triostin_A_biosynthetic_gene_cluster	31	25.6728778468	65	2.3e-10
ADN13832.1	Beta-ketoacyl_synthase	BGC0001164_c1	1-heptadecene_biosynthetic_gene_cluster	26	82.6086956522	64	3e-10
AHH53502.1	acyl-CoA_synthetase	BGC0000439_c1	Taromycin_biosynthetic_gene_cluster	23	80.9523809524	64	5.2e-10
CBJ90288.1	Peptide_synthetase	BGC0000416_c1	Rhabdopeptides_biosynthetic_gene_cluster	28	26.2939958592	62	1.2e-09
CAG15025.1	Acyl-CoA_synthase	BGC0000441_c1	Teicoplanin_biosynthetic_gene_cluster	23	85.9213250518	61	2.6e-09
CAE53367.1	acyl-CoA_ligase	BGC0000440_c1	Teicoplanin_biosynthetic_gene_cluster	23	85.9213250518	61	2.6e-09
EGJ35087.1	AMP-forming_acyl-CoA_synthetase	BGC0001163_c1	1-heptadecene_biosynthetic_gene_cluster	23	59.0062111801	60	5.7e-09
AAC83656.1	dihydroaeruginoic_acid_synthetase	BGC0000412_c1	Pyochelin_biosynthetic_gene_cluster	30	25.0517598344	60	7.5e-09
AEF16021.1	acyl-CoA_synthase	BGC0000379_c1	Laspartomycin_biosynthetic_gene_cluster	26	36.0248447205	59	1.3e-08
AHH34187.1	fatty_acyl_ACP_ligase	BGC0001161_c1	1-heptadecene_biosynthetic_gene_cluster	22	59.0062111801	57	3.7e-08
AIW82280.1	PuwC	BGC0001125_c1	Puwainaphycins_biosynthetic_gene_cluster	27	37.2670807453	54	3.2e-07
AEZ53969.1	putative_AMP-binding_domain-containing_protein	BGC0000144_c1	Salinomycin_biosynthetic_gene_cluster	34	22.3602484472	52	1.2e-06
AFR69331.1	nonribosomal_peptide_synthetase_SpiA	BGC0001045_c1	Spiruchostatin_biosynthetic_gene_cluster	25	48.2401656315	52	1.6e-06
AAF99707.2	syringopeptin_synthetase	BGC0000438_c1	Syringopeptin_biosynthetic_gene_cluster	30	25.2587991718	52	1.6e-06
AHN91924.1	EchA	BGC0000340_c1	Echosides_biosynthetic_gene_cluster	26	61.6977225673	52	1.6e-06
CBD77732.1	polyketide_synthase	BGC0000974_c1	Crocacin_biosynthetic_gene_cluster	27	30.2277432712	51	2.7e-06
ANY57892.1	PenN	BGC0001372_c1	Penigequinolone_biosynthetic_gene_cluster	30	24.8447204969	50	4.6e-06
AAY42393.1	HctA	BGC0001000_c1	Hectochlorin_biosynthetic_gene_cluster	30	21.1180124224	50	4.6e-06
